,log message,log key,parameter value vector
387,10 18 18:03:13 Progress of TaskAttempt attempt_1445144423722_0020_m_000000_0 is : 0.19158794,Progress of TaskAttempt attempt_<*>_<*>_m_<*>_<*> is : <*>.<*>,"[1, '1445144423722', '0020', '000000', '0', '0', '19158794']"
388,"10 18 18:03:13 Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>","[0, '<', '0', '-27>']"
389,10 18 18:03:13 Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,"[0, '1']"
390,10 18 18:03:13 Progress of TaskAttempt attempt_1445144423722_0020_m_000001_0 is : 0.19211523,Progress of TaskAttempt attempt_<*>_<*>_m_<*>_<*> is : <*>.<*>,"[0, '1445144423722', '0020', '000001', '0', '0', '19211523']"
391,10 18 18:03:14 Progress of TaskAttempt attempt_1445144423722_0020_m_000002_0 is : 0.19212553,Progress of TaskAttempt attempt_<*>_<*>_m_<*>_<*> is : <*>.<*>,"[1, '1445144423722', '0020', '000002', '0', '0', '19212553']"
392,"10 18 18:03:14 Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>","[0, '<', '0', '-27>']"
393,10 18 18:03:14 Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,"[0, '1']"
394,"10 18 18:03:15 Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>","[1, '<', '0', '-27>']"
395,10 18 18:03:15 Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,"[0, '1']"
396,10 18 18:03:15 Progress of TaskAttempt attempt_1445144423722_0020_m_000003_0 is : 0.20639901,Progress of TaskAttempt attempt_<*>_<*>_m_<*>_<*> is : <*>.<*>,"[0, '1445144423722', '0020', '000003', '0', '0', '20639901']"
397,"10 18 18:03:16 Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>","[1, '<', '0', '-27>']"
398,10 18 18:03:16 Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,"[0, '1']"
399,10 18 18:03:17 Progress of TaskAttempt attempt_1445144423722_0020_m_000000_0 is : 0.19158794,Progress of TaskAttempt attempt_<*>_<*>_m_<*>_<*> is : <*>.<*>,"[1, '1445144423722', '0020', '000000', '0', '0', '19158794']"
400,10 18 18:03:17 Progress of TaskAttempt attempt_1445144423722_0020_m_000001_0 is : 0.19211523,Progress of TaskAttempt attempt_<*>_<*>_m_<*>_<*> is : <*>.<*>,"[0, '1445144423722', '0020', '000001', '0', '0', '19211523']"
401,10 18 18:03:17 Progress of TaskAttempt attempt_1445144423722_0020_m_000002_0 is : 0.19212553,Progress of TaskAttempt attempt_<*>_<*>_m_<*>_<*> is : <*>.<*>,"[0, '1445144423722', '0020', '000002', '0', '0', '19212553']"
402,"10 18 18:03:17 Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>","[0, '<', '0', '-27>']"
403,10 18 18:03:17 Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,"[0, '1']"
404,10 18 18:03:18 Progress of TaskAttempt attempt_1445144423722_0020_m_000003_0 is : 0.27765483,Progress of TaskAttempt attempt_<*>_<*>_m_<*>_<*> is : <*>.<*>,"[1, '1445144423722', '0020', '000003', '0', '0', '27765483']"
405,"10 18 18:03:18 Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>","[0, '<', '0', '-27>']"
406,10 18 18:03:18 Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,"[0, '1']"
407,"10 18 18:03:20 Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>","[2, '<', '0', '-27>']"
408,10 18 18:03:20 Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,"[0, '1']"
409,10 18 18:03:20 Progress of TaskAttempt attempt_1445144423722_0020_m_000000_0 is : 0.19158794,Progress of TaskAttempt attempt_<*>_<*>_m_<*>_<*> is : <*>.<*>,"[0, '1445144423722', '0020', '000000', '0', '0', '19158794']"
410,10 18 18:03:21 Progress of TaskAttempt attempt_1445144423722_0020_m_000001_0 is : 0.19211523,Progress of TaskAttempt attempt_<*>_<*>_m_<*>_<*> is : <*>.<*>,"[1, '1445144423722', '0020', '000001', '0', '0', '19211523']"
411,"10 18 18:03:21 Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>","[0, '<', '0', '-27>']"
412,10 18 18:03:21 Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,"[0, '1']"
413,10 18 18:03:21 Progress of TaskAttempt attempt_1445144423722_0020_m_000002_0 is : 0.19212553,Progress of TaskAttempt attempt_<*>_<*>_m_<*>_<*> is : <*>.<*>,"[0, '1445144423722', '0020', '000002', '0', '0', '19212553']"
414,10 18 18:03:22 Progress of TaskAttempt attempt_1445144423722_0020_m_000003_0 is : 0.27765483,Progress of TaskAttempt attempt_<*>_<*>_m_<*>_<*> is : <*>.<*>,"[1, '1445144423722', '0020', '000003', '0', '0', '27765483']"
415,"10 18 18:03:22 Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>","[0, '<', '0', '-27>']"
416,10 18 18:03:22 Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,"[0, '1']"
417,"10 18 18:03:23 Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>","[1, '<', '0', '-27>']"
418,10 18 18:03:23 Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,"[0, '1']"
419,10 18 18:03:24 Progress of TaskAttempt attempt_1445144423722_0020_m_000000_0 is : 0.19158794,Progress of TaskAttempt attempt_<*>_<*>_m_<*>_<*> is : <*>.<*>,"[1, '1445144423722', '0020', '000000', '0', '0', '19158794']"
420,"10 18 18:03:24 Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>","[0, '<', '0', '-27>']"
421,10 18 18:03:24 Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,"[0, '1']"
422,10 18 18:03:24 Progress of TaskAttempt attempt_1445144423722_0020_m_000001_0 is : 0.19211523,Progress of TaskAttempt attempt_<*>_<*>_m_<*>_<*> is : <*>.<*>,"[0, '1445144423722', '0020', '000001', '0', '0', '19211523']"
423,10 18 18:03:25 Progress of TaskAttempt attempt_1445144423722_0020_m_000003_0 is : 0.27765483,Progress of TaskAttempt attempt_<*>_<*>_m_<*>_<*> is : <*>.<*>,"[1, '1445144423722', '0020', '000003', '0', '0', '27765483']"
424,10 18 18:03:25 Progress of TaskAttempt attempt_1445144423722_0020_m_000002_0 is : 0.19212553,Progress of TaskAttempt attempt_<*>_<*>_m_<*>_<*> is : <*>.<*>,"[0, '1445144423722', '0020', '000002', '0', '0', '19212553']"
425,"10 18 18:03:25 Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>","[0, '<', '0', '-27>']"
426,10 18 18:03:25 Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,"[0, '1']"
427,"10 18 18:03:26 Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>","[1, '<', '0', '-27>']"
428,10 18 18:03:26 Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,"[0, '1']"
429,10 18 18:03:27 Progress of TaskAttempt attempt_1445144423722_0020_m_000000_0 is : 0.19158794,Progress of TaskAttempt attempt_<*>_<*>_m_<*>_<*> is : <*>.<*>,"[1, '1445144423722', '0020', '000000', '0', '0', '19158794']"
430,10 18 18:03:28 Progress of TaskAttempt attempt_1445144423722_0020_m_000001_0 is : 0.19211523,Progress of TaskAttempt attempt_<*>_<*>_m_<*>_<*> is : <*>.<*>,"[1, '1445144423722', '0020', '000001', '0', '0', '19211523']"
431,"10 18 18:03:28 Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>","[0, '<', '0', '-27>']"
432,10 18 18:03:28 Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,"[0, '1']"
433,10 18 18:03:28 Progress of TaskAttempt attempt_1445144423722_0020_m_000003_0 is : 0.358454,Progress of TaskAttempt attempt_<*>_<*>_m_<*>_<*> is : <*>.<*>,"[0, '1445144423722', '0020', '000003', '0', '0', '358454']"
434,10 18 18:03:28 Progress of TaskAttempt attempt_1445144423722_0020_m_000002_0 is : 0.19212553,Progress of TaskAttempt attempt_<*>_<*>_m_<*>_<*> is : <*>.<*>,"[0, '1445144423722', '0020', '000002', '0', '0', '19212553']"
435,"10 18 18:03:29 Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>","[1, '<', '0', '-27>']"
436,10 18 18:03:29 Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,"[0, '1']"
437,"10 18 18:03:30 Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>","[1, '<', '0', '-27>']"
438,10 18 18:03:30 Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,"[0, '1']"
439,10 18 18:03:31 Progress of TaskAttempt attempt_1445144423722_0020_m_000003_0 is : 0.36323506,Progress of TaskAttempt attempt_<*>_<*>_m_<*>_<*> is : <*>.<*>,"[1, '1445144423722', '0020', '000003', '0', '0', '36323506']"
440,10 18 18:03:31 Progress of TaskAttempt attempt_1445144423722_0020_m_000000_0 is : 0.19158794,Progress of TaskAttempt attempt_<*>_<*>_m_<*>_<*> is : <*>.<*>,"[0, '1445144423722', '0020', '000000', '0', '0', '19158794']"
441,"10 18 18:03:31 Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>","[0, '<', '0', '-27>']"
442,10 18 18:03:31 Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,"[0, '1']"
443,10 18 18:03:32 Progress of TaskAttempt attempt_1445144423722_0020_m_000001_0 is : 0.19211523,Progress of TaskAttempt attempt_<*>_<*>_m_<*>_<*> is : <*>.<*>,"[1, '1445144423722', '0020', '000001', '0', '0', '19211523']"
444,10 18 18:03:32 Progress of TaskAttempt attempt_1445144423722_0020_m_000002_0 is : 0.19212553,Progress of TaskAttempt attempt_<*>_<*>_m_<*>_<*> is : <*>.<*>,"[0, '1445144423722', '0020', '000002', '0', '0', '19212553']"
445,"10 18 18:03:32 Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>","[0, '<', '0', '-27>']"
446,10 18 18:03:32 Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,"[0, '1']"
447,"10 18 18:03:34 Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>","[2, '<', '0', '-27>']"
448,10 18 18:03:34 Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,"[0, '1']"
449,10 18 18:03:34 Progress of TaskAttempt attempt_1445144423722_0020_m_000003_0 is : 0.36323506,Progress of TaskAttempt attempt_<*>_<*>_m_<*>_<*> is : <*>.<*>,"[0, '1445144423722', '0020', '000003', '0', '0', '36323506']"
450,10 18 18:03:34 Progress of TaskAttempt attempt_1445144423722_0020_m_000000_0 is : 0.19158794,Progress of TaskAttempt attempt_<*>_<*>_m_<*>_<*> is : <*>.<*>,"[0, '1445144423722', '0020', '000000', '0', '0', '19158794']"
451,"10 18 18:03:35 Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>","[1, '<', '0', '-27>']"
452,10 18 18:03:35 Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,"[0, '1']"
453,10 18 18:03:35 Progress of TaskAttempt attempt_1445144423722_0020_m_000001_0 is : 0.20757815,Progress of TaskAttempt attempt_<*>_<*>_m_<*>_<*> is : <*>.<*>,"[0, '1445144423722', '0020', '000001', '0', '0', '20757815']"
454,10 18 18:03:36 Progress of TaskAttempt attempt_1445144423722_0020_m_000002_0 is : 0.19212553,Progress of TaskAttempt attempt_<*>_<*>_m_<*>_<*> is : <*>.<*>,"[1, '1445144423722', '0020', '000002', '0', '0', '19212553']"
455,"10 18 18:03:36 Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>","[0, '<', '0', '-27>']"
456,10 18 18:03:36 Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,"[0, '1']"
457,"10 18 18:03:37 Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>","[1, '<', '0', '-27>']"
458,10 18 18:03:37 Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,"[0, '1']"
459,10 18 18:03:37 Progress of TaskAttempt attempt_1445144423722_0020_m_000003_0 is : 0.36323506,Progress of TaskAttempt attempt_<*>_<*>_m_<*>_<*> is : <*>.<*>,"[0, '1445144423722', '0020', '000003', '0', '0', '36323506']"
460,10 18 18:03:38 Progress of TaskAttempt attempt_1445144423722_0020_m_000000_0 is : 0.19158794,Progress of TaskAttempt attempt_<*>_<*>_m_<*>_<*> is : <*>.<*>,"[1, '1445144423722', '0020', '000000', '0', '0', '19158794']"
461,"10 18 18:03:38 Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>","[0, '<', '0', '-27>']"
462,10 18 18:03:38 Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,"[0, '1']"
463,10 18 18:03:38 Progress of TaskAttempt attempt_1445144423722_0020_m_000001_0 is : 0.24035259,Progress of TaskAttempt attempt_<*>_<*>_m_<*>_<*> is : <*>.<*>,"[0, '1445144423722', '0020', '000001', '0', '0', '24035259']"
464,10 18 18:03:39 Progress of TaskAttempt attempt_1445144423722_0020_m_000002_0 is : 0.22765201,Progress of TaskAttempt attempt_<*>_<*>_m_<*>_<*> is : <*>.<*>,"[1, '1445144423722', '0020', '000002', '0', '0', '22765201']"
465,"10 18 18:03:39 Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>","[0, '<', '0', '-27>']"
466,10 18 18:03:39 Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,"[0, '1']"
467,10 18 18:03:40 Progress of TaskAttempt attempt_1445144423722_0020_m_000003_0 is : 0.4486067,Progress of TaskAttempt attempt_<*>_<*>_m_<*>_<*> is : <*>.<*>,"[1, '1445144423722', '0020', '000003', '0', '0', '4486067']"
468,"10 18 18:03:40 Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>","[0, '<', '0', '-27>']"
469,10 18 18:03:40 Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,"[0, '1']"
470,"10 18 18:03:41 Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>","[1, '<', '0', '-27>']"
471,10 18 18:03:41 Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,"[0, '1']"
472,10 18 18:03:41 Progress of TaskAttempt attempt_1445144423722_0020_m_000000_0 is : 0.19716828,Progress of TaskAttempt attempt_<*>_<*>_m_<*>_<*> is : <*>.<*>,"[0, '1445144423722', '0020', '000000', '0', '0', '19716828']"
473,10 18 18:03:42 Progress of TaskAttempt attempt_1445144423722_0020_m_000001_0 is : 0.26542902,Progress of TaskAttempt attempt_<*>_<*>_m_<*>_<*> is : <*>.<*>,"[1, '1445144423722', '0020', '000001', '0', '0', '26542902']"
474,10 18 18:03:42 Progress of TaskAttempt attempt_1445144423722_0020_m_000002_0 is : 0.26314905,Progress of TaskAttempt attempt_<*>_<*>_m_<*>_<*> is : <*>.<*>,"[0, '1445144423722', '0020', '000002', '0', '0', '26314905']"
475,"10 18 18:03:42 Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>","[0, '<', '0', '-27>']"
476,10 18 18:03:42 Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,"[0, '1']"
477,10 18 18:03:43 Progress of TaskAttempt attempt_1445144423722_0020_m_000003_0 is : 0.4486067,Progress of TaskAttempt attempt_<*>_<*>_m_<*>_<*> is : <*>.<*>,"[1, '1445144423722', '0020', '000003', '0', '0', '4486067']"
478,"10 18 18:03:44 Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>","[1, '<', '0', '-27>']"
479,10 18 18:03:44 Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,"[0, '1']"
480,"10 18 18:03:45 Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>","[1, '<', '0', '-27>']"
481,10 18 18:03:45 Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,"[0, '1']"
482,10 18 18:03:45 Progress of TaskAttempt attempt_1445144423722_0020_m_000000_0 is : 0.23859076,Progress of TaskAttempt attempt_<*>_<*>_m_<*>_<*> is : <*>.<*>,"[0, '1445144423722', '0020', '000000', '0', '0', '23859076']"
483,10 18 18:03:45 Progress of TaskAttempt attempt_1445144423722_0020_m_000001_0 is : 0.27776006,Progress of TaskAttempt attempt_<*>_<*>_m_<*>_<*> is : <*>.<*>,"[0, '1445144423722', '0020', '000001', '0', '0', '27776006']"
484,"10 18 18:03:46 Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>","[1, '<', '0', '-27>']"
485,10 18 18:03:46 Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,"[0, '1']"
486,10 18 18:03:46 Progress of TaskAttempt attempt_1445144423722_0020_m_000002_0 is : 0.27772525,Progress of TaskAttempt attempt_<*>_<*>_m_<*>_<*> is : <*>.<*>,"[0, '1445144423722', '0020', '000002', '0', '0', '27772525']"
487,10 18 18:03:46 Progress of TaskAttempt attempt_1445144423722_0020_m_000003_0 is : 0.4486067,Progress of TaskAttempt attempt_<*>_<*>_m_<*>_<*> is : <*>.<*>,"[0, '1445144423722', '0020', '000003', '0', '0', '4486067']"
488,"10 18 18:03:47 Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>","[1, '<', '0', '-27>']"
489,10 18 18:03:47 Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,"[0, '1']"
490,"10 18 18:03:48 Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>","[1, '<', '0', '-27>']"
491,10 18 18:03:48 Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,"[0, '1']"
492,10 18 18:03:49 Progress of TaskAttempt attempt_1445144423722_0020_m_000001_0 is : 0.27776006,Progress of TaskAttempt attempt_<*>_<*>_m_<*>_<*> is : <*>.<*>,"[1, '1445144423722', '0020', '000001', '0', '0', '27776006']"
493,"10 18 18:03:49 Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>","[0, '<', '0', '-27>']"
494,10 18 18:03:49 Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,"[0, '1']"
495,10 18 18:03:49 Progress of TaskAttempt attempt_1445144423722_0020_m_000000_0 is : 0.2754006,Progress of TaskAttempt attempt_<*>_<*>_m_<*>_<*> is : <*>.<*>,"[0, '1445144423722', '0020', '000000', '0', '0', '2754006']"
496,10 18 18:03:49 Progress of TaskAttempt attempt_1445144423722_0020_m_000002_0 is : 0.27772525,Progress of TaskAttempt attempt_<*>_<*>_m_<*>_<*> is : <*>.<*>,"[0, '1445144423722', '0020', '000002', '0', '0', '27772525']"
497,10 18 18:03:49 Progress of TaskAttempt attempt_1445144423722_0020_m_000003_0 is : 0.5091932,Progress of TaskAttempt attempt_<*>_<*>_m_<*>_<*> is : <*>.<*>,"[0, '1445144423722', '0020', '000003', '0', '0', '5091932']"
498,"10 18 18:03:50 Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>","[1, '<', '0', '-27>']"
499,10 18 18:03:50 Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,"[0, '1']"
500,"10 18 18:03:51 Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>","[1, '<', '0', '-27>']"
501,10 18 18:03:51 Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,"[0, '1']"
502,"10 18 18:03:52 Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>","[1, '<', '0', '-27>']"
503,10 18 18:03:52 Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,"[0, '1']"
504,10 18 18:03:52 Progress of TaskAttempt attempt_1445144423722_0020_m_000001_0 is : 0.27776006,Progress of TaskAttempt attempt_<*>_<*>_m_<*>_<*> is : <*>.<*>,"[0, '1445144423722', '0020', '000001', '0', '0', '27776006']"
505,10 18 18:03:52 Progress of TaskAttempt attempt_1445144423722_0020_m_000000_0 is : 0.27696857,Progress of TaskAttempt attempt_<*>_<*>_m_<*>_<*> is : <*>.<*>,"[0, '1445144423722', '0020', '000000', '0', '0', '27696857']"
506,10 18 18:03:52 Progress of TaskAttempt attempt_1445144423722_0020_m_000003_0 is : 0.5343203,Progress of TaskAttempt attempt_<*>_<*>_m_<*>_<*> is : <*>.<*>,"[0, '1445144423722', '0020', '000003', '0', '0', '5343203']"
507,10 18 18:03:53 Progress of TaskAttempt attempt_1445144423722_0020_m_000002_0 is : 0.27772525,Progress of TaskAttempt attempt_<*>_<*>_m_<*>_<*> is : <*>.<*>,"[1, '1445144423722', '0020', '000002', '0', '0', '27772525']"
508,"10 18 18:03:53 Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>","[0, '<', '0', '-27>']"
509,10 18 18:03:53 Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,"[0, '1']"
510,"10 18 18:03:54 Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>","[1, '<', '0', '-27>']"
511,10 18 18:03:54 Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,"[0, '1']"
512,10 18 18:03:55 Got allocated containers 2,Got allocated containers <*>,"[1, '2']"
513,10 18 18:03:55 Assigned container container_1445144423722_0020_01_000006 to attempt_1445144423722_0020_m_000004_0,Assigned container container_<*>_<*>_<*>_<*> to attempt_<*>_<*>_m_<*>_<*>,"[0, '1445144423722', '0020', '01', '000006', '1445144423722', '0020', '000004', '0']"
514,10 18 18:03:55 Assigned container container_1445144423722_0020_01_000007 to attempt_1445144423722_0020_m_000005_0,Assigned container container_<*>_<*>_<*>_<*> to attempt_<*>_<*>_m_<*>_<*>,"[0, '1445144423722', '0020', '01', '000007', '1445144423722', '0020', '000005', '0']"
515,"10 18 18:03:55 Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>","[0, '<', '0', '-27>']"
516,10 18 18:03:55 Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,"[0, '1']"
517,10 18 18:03:55 After Scheduling: PendingReds:1 ScheduledMaps:4 ScheduledReds:0 AssignedMaps:6 AssignedReds:0 CompletedMaps:0 CompletedReds:0 ContAlloc:6 ContRel:0 HostLocal:3 RackLocal:3,After Scheduling: PendingReds:<*> ScheduledMaps:<*> ScheduledReds:<*> AssignedMaps:<*> AssignedReds:<*> CompletedMaps:<*> CompletedReds:<*> ContAlloc:<*> ContRel:<*> HostLocal:<*> RackLocal:<*>,"[0, '1', '4', '0', '6', '0', '0', '0', '6', '0', '3', '3']"
518,10 18 18:03:55 Resolved MSRA-SA-41.fareast.corp.microsoft.com to /default-rack,Resolved <*> to /default-rack,"[0, 'MSRA-SA-41.fareast.corp.microsoft.com']"
519,10 18 18:03:55 attempt_1445144423722_0020_m_000004_0 TaskAttempt Transitioned from UNASSIGNED to ASSIGNED,attempt_<*>_<*>_m_<*>_<*> TaskAttempt Transitioned from <*> to <*>,"[0, '1445144423722', '0020', '000004', '0', 'UNASSIGNED', 'ASSIGNED']"
520,10 18 18:03:55 Resolved MSRA-SA-41.fareast.corp.microsoft.com to /default-rack,Resolved <*> to /default-rack,"[0, 'MSRA-SA-41.fareast.corp.microsoft.com']"
521,10 18 18:03:55 attempt_1445144423722_0020_m_000005_0 TaskAttempt Transitioned from UNASSIGNED to ASSIGNED,attempt_<*>_<*>_m_<*>_<*> TaskAttempt Transitioned from <*> to <*>,"[0, '1445144423722', '0020', '000005', '0', 'UNASSIGNED', 'ASSIGNED']"
